id,date,amount,merchant,description,category
2704,2024-05-30,1.89,Delta Airlines,Taxi ride,Travel
2705,2025-12-10,16.92,Walmart Supercenter,Electric bill payment,Shopping
2706,2024-01-30,68.9,Walmart Supercenter,Lunch with friends,Shopping
2707,2026-08-21,28.51,Corner Grocery,Corner Grocery - Gas refill,Bills
2708,2024-01-17,24.69,"Brown, Salazar and Villegas","Brown, Salazar and Villegas - Taxi ride",Bills
2709,2024-12-19,14.26,Barker Group,Hotel stay,Travel
2710,2026-02-27,2.46,Spotify,Spotify - Grocery shopping,Entertainment
2711,2025-02-19,13.7,Walmart Supercenter,Grocery shopping,Shopping
2712,2026-01-28,26.02,CVS Pharmacy,CVS Pharmacy - Monthly subscription,Health
2713,2024-08-25,66.9,Local Taxi,Local Taxi - Prescription purchase,Shopping
2714,2026-06-24,8.26,Netflix Streaming,Netflix Streaming - Flight booking,Entertainment
2715,2024-08-29,3.65,Starbucks Coffee,Starbucks Coffee - Course fee,Health
2716,2025-07-28,109.18,Electric Company,Electric Company - Online purchase,Bills
2717,2025-01-16,28.49,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
2718,2024-11-21,14.66,Electric Company,Electric bill payment,Bills
2719,2025-10-15,16.17,Starbucks Coffee,Starbucks Coffee - Flight booking,Others
2720,2025-11-25,14.41,Spotify,Online purchase,Entertainment
2721,2025-12-15,20.23,Walmart Supercenter,Course fee,Shopping
2722,2023-10-27,43.88,Amazon Marketplace,Grocery shopping,Shopping
2723,2026-07-19,16.9,Palmer Ltd,Palmer Ltd - Gas refill,Bills
2724,2026-04-15,38.02,City Hospital,Online purchase,Shopping
2725,2024-10-27,1.81,State University,Taxi ride,Education
2726,2026-04-04,6.64,"Maldonado, Fletcher and Jones",Electric bill payment,Bills
2727,2023-12-01,38.95,"Huffman, Quinn and Johnson",Monthly subscription,Shopping
2728,2026-01-20,9.45,Hoffman Group,Hoffman Group - Lunch with friends,Education
2729,2024-12-28,18.96,Amazon Marketplace,Amazon Marketplace - Monthly subscription,Shopping
2730,2024-12-12,16.56,"Day, Morrow and Savage",Gas refill,Bills
2731,2024-06-20,6.1,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
2732,2025-11-01,26.04,State University,State University - Electric bill payment,Education
2733,2025-06-19,8.94,Gas Station,Hotel stay,Travel
2734,2023-12-14,18.12,Walmart Supercenter,Walmart Supercenter - Prescription purchase,Shopping
2735,2024-10-06,7.17,Joe's Pizza,Joe's Pizza - Hotel stay,Food
2736,2024-06-20,60.73,"Contreras, Nichols and Kelly","Contreras, Nichols and Kelly - Gas refill",Bills
2737,2026-03-23,34.01,Local High School,Hotel stay,Travel
2738,2024-12-04,18.04,Starbucks Coffee,Hotel stay,Travel
2739,2023-10-24,1.71,Gould-Phillips,Lunch with friends,Shopping
2740,2024-02-03,22.6,Joe's Pizza,Prescription purchase,Food
2741,2024-08-21,6.3,Lyft,Lyft - Gas refill,Transport
2742,2024-08-02,12.25,Walmart Supercenter,Taxi ride,Shopping
2743,2026-06-26,7.08,State University,State University - Gas refill,Education
2744,2025-11-10,4.78,Gas Station,Grocery shopping,Bills
2745,2025-09-04,23.41,Electric Company,Electric Company - Flight booking,Bills
2746,2026-01-04,24.79,Amazon Marketplace,Online purchase,Shopping
2747,2025-03-31,3.31,Waterworks,Online purchase,Bills
2748,2024-12-27,6.76,City Hospital,City Hospital - Taxi ride,Bills
2749,2024-06-01,8.42,"Wilson, Myers and Estes",Gas refill,Bills
2750,2026-02-15,15.33,Joe's Pizza,Electric bill payment,Food
2751,2025-06-19,5.95,"Moore, Jimenez and Martin","Moore, Jimenez and Martin - Online purchase",Education
2752,2023-12-22,98.46,Collier-Wright,Hotel stay,Travel
2753,2024-09-17,19.07,State University,Electric bill payment,Education
2754,2026-01-19,9.61,"Middleton, Barry and Gill","Middleton, Barry and Gill - Prescription purchase",Others
2755,2025-03-01,3.74,Sampson-Schmitt,Taxi ride,Utilities
2756,2024-03-16,20.11,Electric Company,Electric Company - Flight booking,Bills
2757,2025-01-06,86.46,Barrera LLC,Flight booking,Entertainment
2758,2024-09-04,5.87,City Hospital,City Hospital - Prescription purchase,Travel
2759,2024-02-17,18.96,Delta Airlines,Delta Airlines - Online purchase,Travel
2760,2024-10-24,9.6,Corner Grocery,Gas refill,Bills
2761,2024-01-19,11.21,Gas Station,Gas Station - Flight booking,Bills
2762,2025-02-14,28.52,Ware-Terry,Ware-Terry - Taxi ride,Others
2763,2024-12-02,21.28,"Short, Roberts and Reynolds",Course fee,Others
2764,2025-09-25,58.27,Hilton Hotels,Monthly subscription,Travel
2765,2023-10-15,5.87,Waterworks,Waterworks - Flight booking,Bills
2766,2026-04-02,4.56,Uber Eats,Uber Eats - Flight booking,Transport
2767,2025-10-12,4.01,"Potts, Lyons and Martinez","Potts, Lyons and Martinez - Flight booking",Food
2768,2025-10-21,4.34,Waterworks,Waterworks - Online purchase,Bills
2769,2026-05-29,26.12,Acosta and Sons,Flight booking,Travel
2770,2026-08-02,16.28,State University,Lunch with friends,Education
2771,2026-02-24,30.06,"West, Allen and Hurley","West, Allen and Hurley - Online purchase",Utilities
2772,2026-04-04,16.17,"Cole, Proctor and Mendoza",Prescription purchase,Transport
2773,2024-08-22,10.58,Waterworks,Electric bill payment,Bills
2774,2025-02-15,9.54,Corner Grocery,Corner Grocery - Flight booking,Shopping
2775,2024-04-28,36.76,Petersen-Mccullough,Petersen-Mccullough - Electric bill payment,Bills
2776,2024-08-12,6.03,Jones PLC,Monthly subscription,Shopping
2777,2026-04-15,10.78,State University,State University - Grocery shopping,Education
2778,2024-01-10,20.6,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
2779,2026-06-02,55.1,Walmart Supercenter,Walmart Supercenter - Online purchase,Shopping
2780,2024-06-02,18.83,Waterworks,Waterworks - Flight booking,Bills
2781,2026-08-06,22.36,Lyft,Lyft - Gas refill,Transport
2782,2025-01-16,10.22,"Adams, Ferrell and Lee",Monthly subscription,Shopping
2783,2024-03-19,37.18,Mall Outlet,Mall Outlet - Prescription purchase,Food
2784,2026-08-09,57.35,State University,Monthly subscription,Education
2785,2024-10-28,66.21,Corner Grocery,Corner Grocery - Gas refill,Bills
2786,2023-12-19,23.78,CVS Pharmacy,Electric bill payment,Health
2787,2026-06-26,20.96,CVS Pharmacy,CVS Pharmacy - Taxi ride,Health
2788,2026-07-02,12.44,Spotify,Spotify - Flight booking,Entertainment
2789,2026-02-07,2.49,"Johnson, Schmidt and Harris","Johnson, Schmidt and Harris - Online purchase",Utilities
2790,2023-10-12,17.34,State University,State University - Online purchase,Education
2791,2025-01-01,17.02,Curtis Ltd,Electric bill payment,Bills
2792,2024-02-14,59.49,Netflix Streaming,Grocery shopping,Entertainment
2793,2026-06-11,2.74,Netflix Streaming,Taxi ride,Entertainment
2794,2025-08-29,31.71,Local High School,Local High School - Prescription purchase,Education
2795,2026-06-04,23.36,Hilton Hotels,Flight booking,Travel
2796,2025-07-20,28.39,Walmart Supercenter,Walmart Supercenter - Prescription purchase,Shopping
2797,2025-03-27,83.43,"Smith, Allen and Harris","Smith, Allen and Harris - Flight booking",Food
2798,2024-08-15,31.16,Corner Grocery,Corner Grocery - Lunch with friends,Shopping
2799,2025-12-31,19.52,"Williams, Green and Austin","Williams, Green and Austin - Online purchase",Others
2800,2026-02-01,33.38,Electric Company,Electric Company - Hotel stay,Travel
2801,2024-06-24,19.2,Lopez Inc,Lopez Inc - Lunch with friends,Shopping
2802,2026-01-20,36.27,Electric Company,Grocery shopping,Bills
2803,2026-03-22,8.88,Local Taxi,Local Taxi - Taxi ride,Travel
2804,2026-03-07,24.1,"Jacobs, Avila and White","Jacobs, Avila and White - Lunch with friends",Food
2805,2026-07-16,56.33,Netflix Streaming,Taxi ride,Entertainment
2806,2025-10-08,35.26,Walmart Supercenter,Lunch with friends,Shopping
2807,2024-11-02,21.4,White LLC,White LLC - Monthly subscription,Travel
2808,2024-09-22,22.51,"Mccall, Price and Rodriguez","Mccall, Price and Rodriguez - Taxi ride",Health
2809,2026-03-30,22.26,City Hospital,City Hospital - Hotel stay,Travel
2810,2026-08-23,21.13,Corner Grocery,Corner Grocery - Course fee,Others
2811,2025-05-01,67.94,Netflix Streaming,Netflix Streaming - Online purchase,Entertainment
2812,2025-08-08,11.68,Starbucks Coffee,Starbucks Coffee - Monthly subscription,Transport
2813,2025-09-15,45.39,Holloway-Erickson,Holloway-Erickson - Monthly subscription,Utilities
2814,2024-02-18,91.47,Amazon Marketplace,Amazon Marketplace - Prescription purchase,Shopping
2815,2024-03-30,31.75,Mall Outlet,Electric bill payment,Bills
2816,2024-10-14,60.58,Martin Group,Martin Group - Hotel stay,Travel
2817,2025-02-06,2.2,Uber Eats,Grocery shopping,Transport
2818,2026-07-25,95.12,Netflix Streaming,Taxi ride,Entertainment
2819,2024-09-26,30.19,Local High School,Local High School - Online purchase,Education
2820,2026-03-14,34.56,Delta Airlines,Monthly subscription,Travel
2821,2026-01-20,45.94,Beck LLC,Beck LLC - Gas refill,Bills
2822,2026-07-18,43.91,"Lindsey, Soto and Mclaughlin",Monthly subscription,Others
2823,2025-02-27,194.57,Reyes-Brown,Reyes-Brown - Online purchase,Food
2824,2026-08-12,5.09,"Jordan, Jacobs and Wise",Electric bill payment,Bills
2825,2024-01-21,34.15,Lyft,Grocery shopping,Transport
2826,2023-08-31,7.88,Starbucks Coffee,Monthly subscription,Shopping
2827,2024-04-03,22.45,Local High School,Monthly subscription,Education
2828,2023-12-04,45.82,Spotify,Spotify - Monthly subscription,Entertainment
2829,2025-07-10,8.93,Waterworks,Waterworks - Electric bill payment,Bills
2830,2023-11-12,75.54,Delta Airlines,Delta Airlines - Course fee,Travel
2831,2026-05-27,4.78,Figueroa-Armstrong,Figueroa-Armstrong - Monthly subscription,Travel
2832,2025-09-23,5.52,Local Taxi,Local Taxi - Prescription purchase,Food
2833,2025-01-29,2.74,City Hospital,City Hospital - Prescription purchase,Bills
2834,2024-08-15,43.11,"Jackson, Ward and Thompson","Jackson, Ward and Thompson - Lunch with friends",Entertainment
2835,2024-04-23,14.77,Uber Eats,Course fee,Transport
2836,2024-11-21,6.18,Mayo PLC,Mayo PLC - Online purchase,Others
2837,2025-05-13,64.58,Local High School,Local High School - Electric bill payment,Education
2838,2024-09-29,45.05,City Hospital,City Hospital - Course fee,Shopping
2839,2025-09-24,35.99,Corner Grocery,Corner Grocery - Gas refill,Bills
2840,2025-04-17,57.96,Strickland and Sons,Electric bill payment,Bills
2841,2025-07-19,18.88,Shah-Andrews,Shah-Andrews - Gas refill,Bills
2842,2024-07-02,11.46,Munoz Inc,Munoz Inc - Lunch with friends,Transport
2843,2026-01-23,12.65,Lin Inc,Lin Inc - Taxi ride,Food
2844,2024-07-14,34.36,Uber Eats,Uber Eats - Prescription purchase,Transport
2845,2025-10-18,46.05,Martin Group,Grocery shopping,Bills
2846,2026-08-16,31.71,Hilton Hotels,Hotel stay,Travel
2847,2024-04-24,5.51,Corner Grocery,Corner Grocery - Flight booking,Bills
2848,2024-03-28,9.48,Netflix Streaming,Flight booking,Entertainment
2849,2026-03-24,16.22,Amazon Marketplace,Grocery shopping,Shopping
2850,2025-07-13,5.83,Starbucks Coffee,Hotel stay,Travel
2851,2023-10-15,56.33,Spotify,Spotify - Online purchase,Entertainment
2852,2023-10-25,10.55,Uber Eats,Uber Eats - Hotel stay,Transport
2853,2025-03-20,23.44,Local High School,Local High School - Prescription purchase,Education
2854,2025-12-31,32.1,Netflix Streaming,Course fee,Entertainment
2855,2023-10-18,41.28,Hines-Howell,Hines-Howell - Lunch with friends,Shopping
2856,2023-11-06,39.48,Delta Airlines,Delta Airlines - Grocery shopping,Travel
2857,2024-08-08,59.32,CVS Pharmacy,Gas refill,Health
2858,2023-10-24,3.95,Walmart Supercenter,Walmart Supercenter - Hotel stay,Travel
2859,2024-08-28,4.42,Uber Eats,Monthly subscription,Transport
2860,2026-01-08,3.31,Mall Outlet,Grocery shopping,Bills
2861,2023-09-03,57.61,Tanner-Wright,Tanner-Wright - Prescription purchase,Food
2862,2026-07-29,31.87,Mall Outlet,Course fee,Utilities
2863,2024-04-22,76.0,Weaver-Hall,Weaver-Hall - Hotel stay,Travel
2864,2026-05-28,9.96,"Walters, Garcia and Jenkins",Online purchase,Utilities
2865,2025-10-31,75.76,"Robinson, Gutierrez and Robinson",Lunch with friends,Others
2866,2025-05-31,12.8,Mcdonald Ltd,Lunch with friends,Entertainment
2867,2025-04-12,39.46,Starbucks Coffee,Starbucks Coffee - Monthly subscription,Food
2868,2024-08-05,12.21,Corner Grocery,Taxi ride,Health
2869,2025-12-10,11.47,State University,State University - Hotel stay,Travel
2870,2024-06-17,30.75,Barnett-Stevens,Barnett-Stevens - Online purchase,Food
2871,2024-06-17,15.39,Lyft,Lyft - Lunch with friends,Transport
2872,2025-10-05,2.32,Joe's Pizza,Taxi ride,Food
2873,2024-11-02,81.18,Joe's Pizza,Joe's Pizza - Flight booking,Food
2874,2024-06-27,65.35,Nguyen Inc,Nguyen Inc - Monthly subscription,Shopping
2875,2023-11-15,60.49,Spotify,Spotify - Monthly subscription,Entertainment
2876,2025-04-20,19.53,Taylor-Villarreal,Taylor-Villarreal - Taxi ride,Education
2877,2026-05-24,19.6,Joe's Pizza,Online purchase,Food
2878,2026-07-28,7.77,Wilkinson Group,Wilkinson Group - Monthly subscription,Transport
2879,2024-05-29,37.88,"Hudson, Simmons and Williams","Hudson, Simmons and Williams - Course fee",Food
2880,2026-02-23,13.08,Walmart Supercenter,Lunch with friends,Shopping
2881,2026-04-28,10.64,Gas Station,Gas refill,Bills
2882,2026-06-11,21.81,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
2883,2026-03-23,20.47,Mall Outlet,Lunch with friends,Others
2884,2025-06-30,3.99,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
2885,2025-03-02,19.52,Lewis Group,Lewis Group - Gas refill,Bills
2886,2026-07-31,50.94,Delta Airlines,Delta Airlines - Taxi ride,Travel
2887,2026-08-29,9.12,Warner LLC,Warner LLC - Grocery shopping,Food
2888,2026-01-30,7.46,Klein-Montoya,Klein-Montoya - Grocery shopping,Others
2889,2024-10-13,91.03,"Floyd, Ramirez and Baxter",Electric bill payment,Bills
2890,2025-07-27,2.93,"Cross, Phillips and Espinoza","Cross, Phillips and Espinoza - Gas refill",Bills
2891,2026-06-26,29.46,City Hospital,City Hospital - Prescription purchase,Entertainment
2892,2024-10-18,33.4,Mall Outlet,Mall Outlet - Hotel stay,Travel
2893,2026-06-16,47.47,Lindsey Inc,Grocery shopping,Travel
2894,2025-07-22,39.34,Joe's Pizza,Joe's Pizza - Taxi ride,Food
2895,2024-06-04,20.15,Spotify,Spotify - Flight booking,Entertainment
2896,2025-08-06,28.13,Gas Station,Gas Station - Electric bill payment,Bills
2897,2023-11-14,2.13,Netflix Streaming,Grocery shopping,Entertainment
2898,2026-03-09,5.88,Walker-Mullen,Walker-Mullen - Electric bill payment,Bills
2899,2024-10-10,60.73,Waterworks,Online purchase,Bills
2900,2025-06-17,14.45,Armstrong-Peters,Armstrong-Peters - Hotel stay,Travel
2901,2026-04-14,16.15,Local Taxi,Local Taxi - Prescription purchase,Transport
2902,2023-10-23,65.08,"Cooper, Petersen and Castaneda",Prescription purchase,Shopping
2903,2025-06-24,9.72,Uber Eats,Uber Eats - Hotel stay,Transport
2904,2023-10-30,57.56,"Hanson, Smith and Miller","Hanson, Smith and Miller - Course fee",Health
2905,2024-05-29,21.77,Corner Grocery,Lunch with friends,Entertainment
2906,2024-01-17,1.33,Gas Station,Gas Station - Hotel stay,Travel
2907,2025-10-27,30.14,Netflix Streaming,Netflix Streaming - Course fee,Entertainment
2908,2024-08-09,58.01,Electric Company,Electric Company - Electric bill payment,Bills
2909,2026-03-19,14.35,Starbucks Coffee,Starbucks Coffee - Course fee,Entertainment
2910,2025-02-15,22.21,Starbucks Coffee,Starbucks Coffee - Taxi ride,Food
2911,2026-07-23,148.72,Walmart Supercenter,Walmart Supercenter - Electric bill payment,Shopping
2912,2026-06-25,2.93,Local High School,Lunch with friends,Education
2913,2023-11-10,70.7,"Huff, Shaw and Moore","Huff, Shaw and Moore - Prescription purchase",Bills
2914,2025-04-22,22.49,Local Taxi,Local Taxi - Online purchase,Shopping
2915,2024-03-23,100.02,State University,Prescription purchase,Education
2916,2024-10-05,11.4,Lyft,Electric bill payment,Transport
2917,2024-01-07,72.06,Thomas LLC,Online purchase,Transport
2918,2024-12-07,8.91,Walmart Supercenter,Lunch with friends,Shopping
2919,2025-06-12,69.12,Foster-Warren,Electric bill payment,Bills
2920,2023-11-26,4.4,Waterworks,Prescription purchase,Bills
2921,2025-08-26,29.93,Burgess-Reyes,Burgess-Reyes - Taxi ride,Others
2922,2024-12-18,3.0,Bailey-Watson,Course fee,Shopping
2923,2024-08-31,15.24,Corner Grocery,Hotel stay,Travel
2924,2024-10-04,31.41,Corner Grocery,Hotel stay,Travel
2925,2024-12-29,96.83,Amazon Marketplace,Amazon Marketplace - Prescription purchase,Shopping
2926,2026-05-26,14.08,Netflix Streaming,Flight booking,Entertainment
2927,2025-05-31,4.94,Corner Grocery,Corner Grocery - Course fee,Travel
2928,2023-10-15,4.61,Joe's Pizza,Joe's Pizza - Grocery shopping,Food
2929,2026-04-14,10.01,Phillips LLC,Phillips LLC - Electric bill payment,Bills
2930,2024-10-06,7.6,Delta Airlines,Delta Airlines - Electric bill payment,Travel
2931,2024-04-17,8.82,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Food
2932,2026-03-15,2.48,"Allen, Fisher and Price",Electric bill payment,Bills
2933,2026-06-13,23.1,"Johnson, Bryan and Blackwell",Course fee,Entertainment
2934,2024-06-29,56.16,State University,State University - Electric bill payment,Education
2935,2024-09-11,30.9,Spotify,Gas refill,Entertainment
2936,2024-12-14,8.11,Wilson PLC,Monthly subscription,Entertainment
2937,2023-12-19,28.81,Simon-Mason,Prescription purchase,Travel
2938,2026-04-29,4.7,Lyft,Lyft - Flight booking,Transport
2939,2025-06-05,37.85,Amazon Marketplace,Prescription purchase,Shopping
2940,2025-01-06,18.12,Local Taxi,Flight booking,Entertainment
2941,2025-10-17,154.42,State University,Lunch with friends,Education
2942,2024-07-05,69.49,Hilton Hotels,Hilton Hotels - Electric bill payment,Travel
2943,2025-03-23,11.82,Waterworks,Waterworks - Grocery shopping,Bills
2944,2025-11-25,5.39,"Gordon, Lopez and Jacobs",Lunch with friends,Entertainment
2945,2024-08-09,291.14,"White, Berry and Reynolds",Course fee,Others
2946,2024-07-10,7.79,Curtis and Sons,Gas refill,Bills
2947,2023-11-20,28.09,Walker PLC,Walker PLC - Flight booking,Food
2948,2024-09-06,10.53,Sullivan-Jackson,Sullivan-Jackson - Prescription purchase,Food
2949,2025-06-23,44.71,Local Taxi,Local Taxi - Grocery shopping,Others
2950,2026-04-09,1.41,Electric Company,Taxi ride,Bills
2951,2024-03-02,14.33,Gas Station,Gas Station - Lunch with friends,Bills
2952,2025-04-22,44.29,Gas Station,Gas Station - Course fee,Bills
2953,2024-11-21,100.93,Harper Inc,Monthly subscription,Others
2954,2023-10-24,1.83,Walmart Supercenter,Walmart Supercenter - Taxi ride,Shopping
2955,2025-04-15,6.62,Electric Company,Electric Company - Hotel stay,Travel
2956,2024-04-25,8.04,"Clark, Walker and Good",Monthly subscription,Travel
2957,2026-08-16,17.79,State University,Hotel stay,Travel
2958,2025-12-28,13.62,Spotify,Hotel stay,Travel
2959,2024-05-09,2.68,Joe's Pizza,Joe's Pizza - Hotel stay,Food
2960,2026-02-19,66.47,State University,State University - Online purchase,Education
2961,2024-03-21,9.22,City Hospital,Taxi ride,Entertainment
2962,2025-06-19,21.05,Mall Outlet,Mall Outlet - Electric bill payment,Bills
2963,2024-02-19,42.88,Delta Airlines,Flight booking,Travel
2964,2026-05-14,60.75,Amazon Marketplace,Flight booking,Shopping
